RunId,iteration,Step,height,width,radius,stoats,food_density,traps,Stoats,Food
0,0,1782,50,50,20,5,0.1,10,0,5
1,0,999,50,50,20,5,0.25,10,0,39
2,0,999,50,50,20,5,0.5,10,0,34
3,1,999,50,50,20,5,0.1,10,0,6
4,1,999,50,50,20,5,0.25,10,0,17
5,1,999,50,50,20,5,0.5,10,0,33
6,2,2000,50,50,20,5,0.1,10,10,9
7,2,999,50,50,20,5,0.25,10,0,40
8,2,999,50,50,20,5,0.5,10,0,30
0,0,496,50,50,20,15,0.1,30,0,2
1,0,999,50,50,20,15,0.25,30,0,18
2,0,999,50,50,20,15,0.5,30,0,46
3,1,905,50,50,20,15,0.1,30,0,0
4,1,2000,50,50,20,15,0.25,30,23,8
5,1,2000,50,50,20,15,0.5,30,44,38
6,2,289,50,50,20,15,0.1,30,0,12
7,2,2000,50,50,20,15,0.25,30,16,20
8,2,999,50,50,20,15,0.5,30,0,48
0,0,785,50,50,20,25,0.1,50,0,12
1,0,999,50,50,20,25,0.25,50,0,24
2,0,2000,50,50,20,25,0.5,50,16,54
3,1,441,50,50,20,25,0.1,50,0,7
4,1,642,50,50,20,25,0.25,50,0,26
5,1,999,50,50,20,25,0.5,50,0,47
6,2,966,50,50,20,25,0.1,50,0,8
7,2,1566,50,50,20,25,0.25,50,0,21
8,2,999,50,50,20,25,0.5,50,0,51
